Time,Z_raw,Forward_m_camera,Forward_m,L1,L2,L3,L4,Avg_DM
2026-06-30 04:43:22,3.674,3.366,3.106,3.651,3.651,3.674,3.742,3.651
2026-06-30 04:43:46,3.719,3.392,3.132,3.719,3.651,3.696,3.788,3.696
2026-06-30 04:43:57,3.674,3.340,3.080,3.674,3.651,3.674,3.788,3.674
2026-06-30 04:44:02,3.674,3.341,3.081,3.674,3.630,3.674,3.861,3.674
2026-06-30 04:44:07,3.696,3.365,3.105,3.524,3.630,3.651,3.765,3.566
2026-06-30 04:44:16,3.651,3.307,3.047,3.674,3.587,3.630,3.608,3.566
2026-06-30 04:44:32,3.719,3.404,3.144,3.630,3.630,3.719,3.696,3.630
2026-06-30 04:44:41,3.674,3.348,3.088,3.742,3.504,3.674,3.765,3.630
2026-06-30 04:45:07,3.696,3.376,3.116,3.674,3.651,3.696,3.742,3.674
2026-06-30 04:45:14,3.742,3.411,3.151,3.742,3.696,3.742,3.788,3.674
2026-06-30 04:45:50,4.457,4.158,3.898,4.424,4.209,4.424,4.490,4.424
2026-06-30 04:45:55,4.457,4.163,3.903,4.239,4.361,4.330,4.441,4.269
2026-06-30 04:45:59,4.490,4.183,3.923,4.490,4.361,4.457,4.557,4.424
2026-06-30 04:46:03,4.457,4.158,3.898,4.490,4.392,4.457,4.523,4.457
2026-06-30 04:46:11,4.490,4.170,3.910,4.457,4.424,4.490,4.490,4.424
2026-06-30 04:46:16,4.557,4.237,3.977,4.557,4.457,4.180,3.911,4.592
2026-06-30 04:46:21,4.424,4.114,3.854,4.392,4.361,4.424,4.490,4.392
2026-06-30 04:46:29,4.457,4.139,3.879,4.457,4.392,4.457,4.490,4.424
2026-06-30 04:46:47,4.424,4.128,3.868,4.361,4.299,4.424,4.627,4.361
2026-06-30 04:46:56,4.457,4.139,3.879,4.269,4.299,4.490,4.523,4.330
2026-06-30 04:47:14,4.928,4.620,4.360,4.888,4.849,4.928,4.968,4.888
2026-06-30 04:47:19,4.888,4.616,4.356,4.849,4.849,4.888,4.928,4.849
2026-06-30 04:47:23,4.968,4.664,4.404,4.928,4.928,4.968,5.094,4.928
2026-06-30 04:47:34,4.968,4.672,4.412,4.968,4.928,4.968,5.009,4.968
2026-06-30 04:47:39,4.928,4.642,4.382,4.968,4.888,4.928,5.094,4.968
2026-06-30 04:47:44,4.849,4.606,4.346,4.811,4.811,4.849,4.928,4.811
2026-06-30 04:47:51,4.968,4.672,4.412,4.928,4.849,4.968,5.009,4.928
2026-06-30 04:48:17,4.849,4.609,4.349,4.773,4.811,4.849,4.928,4.811
2026-06-30 04:48:22,4.968,4.691,4.431,5.009,4.849,4.968,5.094,4.968
2026-06-30 04:50:49,4.968,4.669,4.409,4.968,4.928,4.968,5.009,4.968
2026-06-30 04:51:03,5.773,5.506,5.246,-1.000,5.718,5.718,5.828,5.828
2026-06-30 04:51:10,5.828,5.598,5.338,5.885,5.718,5.828,5.943,5.828
2026-06-30 04:51:15,5.885,5.614,5.354,5.828,5.665,5.225,5.885,5.773
2026-06-30 04:51:19,5.828,5.552,5.292,5.828,5.773,5.828,5.885,5.828
2026-06-30 04:51:23,5.885,5.639,5.379,5.828,5.828,5.885,5.828,5.885
2026-06-30 04:51:27,5.828,5.533,5.273,5.943,5.612,5.486,5.718,5.943
2026-06-30 04:51:33,5.885,5.620,5.360,5.885,5.718,5.885,5.885,5.828
2026-06-30 04:51:37,5.828,5.547,5.287,5.718,5.773,5.317,5.249,5.718
2026-06-30 04:51:41,5.828,5.576,5.316,5.718,5.665,5.271,5.828,5.665
2026-06-30 04:51:54,5.718,5.470,5.210,5.828,5.665,5.718,5.828,5.828
2026-06-30 04:52:12,5.943,-52.901,5.610,-1.000,-1.000,-1.000,-1.000,5.943
2026-06-30 04:52:22,5.943,-53.927,5.600,-1.000,-1.000,-1.000,-1.000,5.943
2026-06-30 04:52:27,-1.000,-60.109,0.000,-1.000,-1.000,-1.000,-1.000,-1.000
2026-06-30 04:52:31,-1.000,-60.708,0.000,-1.000,-1.000,-1.000,-1.000,-1.000
2026-06-30 04:55:37,5.051,4.848,4.588,5.225,4.361,5.009,4.888,5.137
2026-06-30 05:12:55,3.719,3.403,3.012,3.719,3.651,3.719,3.812,3.719
2026-06-30 05:13:04,3.651,3.296,2.927,3.630,3.608,3.651,3.765,3.630
2026-06-30 05:13:09,3.696,3.383,2.995,3.674,3.630,3.696,3.777,3.674
2026-06-30 05:13:14,3.696,3.391,3.002,3.651,3.630,3.674,3.742,3.651
2026-06-30 05:13:21,3.742,3.437,3.038,3.651,3.630,3.719,3.788,3.674
2026-06-30 05:13:48,4.457,4.160,3.583,4.424,4.269,4.424,4.557,4.424
2026-06-30 05:13:54,4.424,4.133,3.563,4.392,4.209,4.361,4.507,4.377
2026-06-30 05:14:02,4.424,4.129,3.561,4.424,4.269,4.424,4.457,4.424
2026-06-30 05:14:06,4.523,4.220,3.626,4.457,4.330,4.424,4.490,4.490
2026-06-30 05:14:14,4.490,4.189,3.604,4.424,4.269,4.457,4.523,4.457
2026-06-30 05:14:33,4.968,4.702,3.961,4.968,4.849,4.968,5.009,4.968
2026-06-30 05:14:39,4.888,4.638,3.918,4.888,4.849,4.888,5.051,4.888
2026-06-30 05:14:44,4.888,4.602,3.894,4.888,4.811,4.888,4.968,4.888
2026-06-30 05:14:49,4.928,4.659,3.933,4.968,4.849,4.928,5.009,4.968
2026-06-30 05:15:06,5.773,5.521,4.486,5.885,5.561,5.718,5.828,5.828
2026-06-30 05:15:11,5.828,5.580,4.522,5.612,5.665,5.510,5.773,5.665
2026-06-30 05:15:16,5.773,5.548,4.503,5.773,5.718,5.773,5.885,5.773
2026-06-30 05:15:39,5.828,5.526,4.490,5.885,5.665,5.510,5.828,5.943
